no	effector	l1	l2	p.value
"339"	"hopAM"	-52.902758	-51.820229	2.165058	0.705431237011476
"340"	"hopAO"	-69.468744	-66.730624	5.47624	0.241825910753441
"341"	"hopAQ"	-39.664812	-39.433334	0.462956	0.9770055698589
"342"	"hopAR"	-72.990154	-66.985392	12.009524	0.0172805826756364
"343"	"hopAS"	-56.806437	-54.928858	3.755158	0.440154408872475
"344"	"hopAT"	-77.775445	-75.730143	4.090604	0.393882780735035
"345"	"hopAU"	-50.368968	-49.569216	1.599504	0.808881279512556
"346"	"hopAV"	-67.008293	-64.484072	5.048442	0.282363062320578
"347"	"hopAW"	-57.535763	-55.974431	3.122664	0.537511800757236
"348"	"hopAX"	-48.062667	-47.233168	1.658998	0.798151507029297
"349"	"hopAY"	-99.399526	-96.50485	5.789352	0.215441577623966
"350"	"hopAZ"	-97.305653	-96.284614	2.042078	0.728019631802646
"351"	"hopBA"	-56.758852	-55.319166	2.879372	0.578210865578287
"352"	"hopBB"	-76.42517	-71.506173	9.837994	0.0432468884677738
"353"	"hopBC"	-55.903204	-54.450628	2.905152	0.573821389481679
"354"	"hopBD"	-75.964314	-72.688227	6.552174	0.161532541554039
"355"	"hopBE"	-48.576834	-45.948008	5.257652	0.261867449805915
"356"	"hopBF"	-84.05626	-69.173696	29.765128	5.46393082313007e-06
"357"	"hopBG"	-39.624522	-39.186068	0.876908	0.927850114065571
"358"	"hopBH"	-43.955988	-43.319472	1.273032	0.865934153850063
"359"	"hopBI"	-55.395777	-54.070207	2.65114	0.617791146235838
"360"	"hopBJ"	-35.013146	-34.97819	0.069912	0.999403091956904
"361"	"hopBK"	-49.271546	-48.626334	1.290424	0.86299813522494
"362"	"hopBL"	-56.57954	-54.681253	3.796574	0.43423599421832
"363"	"hopB"	-58.450129	-57.281149	2.33796	0.673866681855211
"364"	"hopC"	-57.268023	-55.122149	4.291748	0.367959556736877
"365"	"hopD"	-72.281583	-69.542099	5.478968	0.241584404478046
"366"	"hopE"	-63.300446	-62.992234	0.616424	0.96122123749884
"367"	"hopF"	-78.609322	-74.585759	8.047126	0.0898670828860606
"368"	"hopG"	-67.677583	-65.60209	4.150986	0.385957589857524
"369"	"hopH"	-90.624016	-83.100074	15.047884	0.00460292600296487
"370"	"hopI"	-46.891243	-45.931614	1.919258	0.750606426584064
"371"	"hopK"	-39.664812	-39.425662	0.4783	0.975578803695752
"372"	"hopM"	-74.737348	-71.215505	7.043686	0.133597551399211
"373"	"hopN"	-51.850712	-51.206211	1.289002	0.863238723824244
"374"	"hopO"	-65.655995	-64.074385	3.16322	0.530891948807211
"375"	"hopQ"	-71.010277	-68.343479	5.333596	0.254748320833628
"376"	"hopR"	-71.972372	-69.141593	5.661558	0.22588916435076
"377"	"hopS"	-42.011965	-41.853623	0.316684	0.98871186685803
